down,{XXXposXXX: XXX(328.0, 438.00000000000006)XXX},2016_08_15_21_59_30_696480
press,,2016_08_15_21_59_30_815080
down,{XXXposXXX: XXX(329.0, 460.99999999999994)XXX},2016_08_15_21_59_33_128462
press,,2016_08_15_21_59_33_257640
down,{XXXposXXX: XXX(319.0, 488.0)XXX},2016_08_15_21_59_35_685412
press,,2016_08_15_21_59_35_758867
up,{XXXposXXX: XXX(319.0, 488.0)XXX},2016_08_15_21_59_35_826133
down,{XXXposXXX: XXX(804.0, 373.99999999999994)XXX},2016_08_15_21_59_38_050518
press,,2016_08_15_21_59_38_305551
up,{XXXposXXX: XXX(766.0, 326.99999999999994)XXX},2016_08_15_21_59_38_398974
down,{XXXposXXX: XXX(671.0, 276.0)XXX},2016_08_15_21_59_40_611144
press,,2016_08_15_21_59_40_633704
